Date,Open,High,Low,Close,Adj Close,Volume
2020-09-04,8.552751,8.884585,8.288219,8.682663,8.682663,8794632
2020-09-05,8.674322,8.811140,8.065618,8.250079,8.250079,6745629
2020-09-06,8.250079,8.563942,8.113439,8.332507,8.332507,5750602
2020-09-07,8.308258,8.685127,8.073191,8.620023,8.620023,5445723
2020-09-08,8.614584,8.617957,8.110626,8.300822,8.300822,5726818
2020-09-09,8.294621,8.626986,8.184694,8.474466,8.474466,4334134
2020-09-10,8.475910,8.766822,8.425570,8.629286,8.629286,4188712
2020-09-11,8.629286,8.731927,8.434575,8.576064,8.576064,3779839
2020-09-12,8.580254,8.846350,8.484912,8.770637,8.770637,3865091
2020-09-13,8.770637,8.791562,8.201087,8.407972,8.407972,3772294
2020-09-14,8.410747,8.685901,8.344968,8.492919,8.492919,3870128
2020-09-15,8.486829,8.710867,8.402805,8.430217,8.430217,4627350
2020-09-16,8.403243,8.433535,8.140495,8.340292,8.340292,4107364
2020-09-17,8.386195,9.444420,8.172008,8.272874,8.272874,3624378
2020-09-18,8.272874,9.901459,7.925433,8.319081,8.319081,3791930
2020-09-19,8.312366,10.130269,8.238960,8.473722,8.473722,3471221
2020-09-20,8.471862,10.149942,8.026943,8.158021,8.158021,3115951
2020-09-21,8.159870,10.885959,7.543524,7.920043,7.920043,4555607
2020-09-22,7.915803,8.729612,7.631953,7.964172,7.964172,4222621
2020-09-23,7.964172,8.328004,7.412338,7.439725,7.439725,3295636
2020-09-24,7.439847,8.818055,7.401065,7.745727,7.745727,2871927
2020-09-25,7.748166,8.803617,7.552984,7.878240,7.878240,3456430
2020-09-26,7.877998,8.853051,7.799345,7.931293,7.931293,2913499
2020-09-27,7.931136,8.117478,7.812005,8.003352,8.003352,3365291
2020-09-28,8.003352,8.457500,7.975966,8.082046,8.082046,4007813
2020-09-29,8.077705,8.115252,7.897056,8.024391,8.024391,4810536
2020-09-30,8.036854,8.338184,7.908175,8.015005,8.015005,4857174
2020-10-01,8.015005,8.456726,7.871385,8.267062,8.267062,4931642
2020-10-02,8.196664,9.285775,7.598616,7.682823,7.682823,3513117
2020-10-03,7.682823,9.886934,7.667133,8.505197,8.505197,3306237
2020-10-04,8.505197,9.364343,7.658726,7.802304,7.802304,3464422
2020-10-05,7.802304,8.017852,7.755619,7.851731,7.851731,3369423
2020-10-06,7.850173,7.941000,7.659675,7.662683,7.662683,4176254
2020-10-07,7.662683,7.706395,7.567822,7.691532,7.691532,3494326
2020-10-08,7.685065,7.995490,7.609150,7.993353,7.993353,3219968
2020-10-09,7.993799,8.227722,7.871762,8.128795,8.128795,4453290
2020-10-10,8.114035,8.420094,8.089642,8.240696,8.240696,5164312
2020-10-11,8.247512,8.356690,8.201048,8.250196,8.250196,2835296
2020-10-12,8.251838,8.284336,8.035815,8.196485,8.196485,3532122
2020-10-13,8.195862,8.247896,7.989889,8.071658,8.071658,4124095
2020-10-14,8.086574,8.124663,7.652077,7.803350,7.803350,4319700
2020-10-15,7.809540,7.916232,7.695673,7.866409,7.866409,4181787
2020-10-16,7.864217,7.868311,7.628302,7.694693,7.694693,3657799
2020-10-17,7.703788,7.745382,7.684496,7.726669,7.726669,3481668
